    616.018000 #33531    cpu0 PHY.RD   addr=0x073a val=0x000001d3
    616.018000 #33533    cpu0 PHY.WR   addr=0x073a val=0x01d3
    616.018000 #33534    cpu0 PHY.RD   addr=0x0725 val=0x000007e2
    616.018000 #33536    cpu0 PHY.WR   addr=0x0725 val=0x07e6
    616.018000 #33537    cpu0 PHY.RD   addr=0x0939 val=0x0000007a
    616.018000 #33539    cpu0 PHY.WR   addr=0x0939 val=0x00fa
    616.018000 #33540    cpu0 PHY.RD   addr=0x093a val=0x000001d3
    616.018000 #33542    cpu0 PHY.WR   addr=0x093a val=0x01d3
    616.018000 #33543    cpu0 PHY.RD   addr=0x0925 val=0x000007e2
    616.018000 #33545    cpu0 PHY.WR   addr=0x0925 val=0x07e6
    616.018000 #33546    cpu0 PHY.WR   addr=0x0925 val=0x07e2
    616.018000 #33547    cpu0 PHY.WR   addr=0x093a val=0x01d3
    616.018000 #33548    cpu0 PHY.WR   addr=0x0939 val=0x007a
    616.018000 #33549    cpu0 PHY.WR   addr=0x0725 val=0x07e2
    616.018000 #33550    cpu0 PHY.WR   addr=0x073a val=0x01d3
    616.018000 #33551    cpu0 PHY.WR   addr=0x0739 val=0x007a
    616.018000 #33552    cpu0 PHY.RD   addr=0x0393 val=0x00000000
    616.018000 #33554    cpu0 PHY.WR   addr=0x0394 val=0x0110
    616.018000 #33555    cpu0 PHY.WR   addr=0x0393 val=0x8000
    616.018000 #33556    cpu0 RAD.MOD  addr=0x016e val=0x0002 mask=0x0002
    616.018000 #33557    cpu0 RAD.RD   addr=0x016e val=0x00000000
    616.018000 #33559    cpu0 RAD.WR   addr=0x016e val=0x0002
    616.018000 #33560    cpu0 RAD.MOD  addr=0x000e val=0x0002 mask=0x0002
    616.018000 #33561    cpu0 RAD.RD   addr=0x000e val=0x00000001
    616.018000 #33563    cpu0 RAD.WR   addr=0x000e val=0x0003
    616.018000 #33564    cpu0 RAD.MOD  addr=0x016e val=0x0001 mask=0x0001
    616.018000 #33565    cpu0 RAD.RD   addr=0x016e val=0x00000002
    616.018000 #33567    cpu0 RAD.WR   addr=0x016e val=0x0003
    616.018000 #33568    cpu0 RAD.MOD  addr=0x000e val=0x0000 mask=0x0004
    616.018000 #33569    cpu0 RAD.RD   addr=0x000e val=0x00000003
