   1825.001000 #1211603  cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1825.057000 #1211918  cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
   1825.057000 #1211919  cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1825.057000 #1211920  cpu1 RETVAL   for=#1211919 val=0x00001f81
   1825.057000 #1211921  cpu1 RAD.WR   addr=0x0410 val=0x1f80
   1825.057000 #1211922  cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x1000
   1825.057000 #1211923  cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1825.057000 #1211924  cpu1 RETVAL   for=#1211923 val=0x00001f80
   1825.057000 #1211925  cpu1 RAD.WR   addr=0x0410 val=0x0f80
   1825.057000 #1211926  cpu1 RAD.MOD  addr=0x0410 val=0x0010 mask=0x0018
   1825.057000 #1211927  cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1825.057000 #1211928  cpu1 RETVAL   for=#1211927 val=0x00000f80
   1825.057000 #1211929  cpu1 RAD.WR   addr=0x0410 val=0x0f90
   1825.057000 #1211930  cpu1 RAD.MOD  addr=0x0411 val=0x7000 mask=0xff00
   1825.057000 #1211931  cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
   1825.057000 #1211932  cpu1 RETVAL   for=#1211931 val=0x00001c54
   1825.057000 #1211933  cpu1 RAD.WR   addr=0x0411 val=0x7054
   1825.057000 #1211934  cpu1 RAD.WR   addr=0x0412 val=0x0101
